rank,method,conf,nms_iou,merge_distance,n_images,mean_boxes,std_boxes,median_boxes,mean_area,mean_text_coverage,mean_overlap_ratio,mean_empty_boxes,mean_empty_ratio,mean_tiny_boxes,mean_tiny_ratio,mean_duplicates,total_duplicates,mean_time_ms,score
152,yolo11,0.40,0.60,5,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,211.48,1.37
153,yolo11,0.40,0.50,20,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,217.86,1.37
154,yolo11,0.40,0.50,15,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,207.57,1.37
155,yolo11,0.40,0.50,10,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,217.67,1.37
156,yolo11,0.40,0.40,5,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,213.12,1.37
157,yolo11,0.40,0.40,20,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,212.06,1.37
158,yolo11,0.40,0.40,15,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,214.05,1.37
159,yolo11,0.40,0.40,10,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,223.40,1.37
160,yolo11,0.40,0.30,20,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,216.83,1.37
161,yolo11,0.40,0.30,15,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,222.59,1.37
162,yolo11,0.40,0.30,10,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,211.86,1.37
163,yolo11,0.40,0.30,5,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,215.07,1.37
164,yolo11,0.40,0.60,20,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,260.11,1.37
